ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,NIVEL_RIESGO_REAL,NIVEL_RIESGO_PREDICHO,TASA_REAL,TASA_PREDICHA,DELITOS_ESTIMADOS
2026,4,ASCOPE,CHOCOPE,Extorsión,BAJO,BAJO,1.038,2.270301244855075,2
2026,4,ASCOPE,CHOCOPE,Hurto,BAJO,BAJO,1.038,2.1924692301487934,2
2026,4,ASCOPE,CHOCOPE,Violencia contra la mujer e integrantes,BAJO,BAJO,1.038,2.472896449116988,2
2026,4,SANCHEZ CARRION,COCHORCO,Violencia contra la mujer e integrantes,BAJO,BAJO,1.068,1.2073267239302852,1
2026,4,GRAN CHIMU,COMPIN,Hurto,BAJO,BAJO,4.895,5.72752513891045,1
2026,4,GRAN CHIMU,COMPIN,Violencia contra la mujer e integrantes,BAJO,BAJO,4.895,5.489719268389994,1
2026,4,TRUJILLO,EL PORVENIR,Estafa,MEDIO,MEDIO,0.537,0.5384999649827564,12
2026,4,TRUJILLO,EL PORVENIR,Extorsión,ALTO,MEDIO,0.715,1.0959821226244466,25
2026,4,TRUJILLO,EL PORVENIR,Hurto,ALTO,ALTO,2.012,2.0049603396313276,45
2026,4,TRUJILLO,EL PORVENIR,Robo,MEDIO,MEDIO,0.537,2.030105428078658,45
2026,4,TRUJILLO,EL PORVENIR,Violencia contra la mujer e integrantes,ALTO,ALTO,3.622,3.5846716968547465,80
2026,4,TRUJILLO,FLORENCIA DE MORA,Estafa,MEDIO,MEDIO,1.93,1.947469191681703,7
2026,4,TRUJILLO,FLORENCIA DE MORA,Extorsión,MEDIO,BAJO,2.482,1.038247614806247,4
2026,4,TRUJILLO,FLORENCIA DE MORA,Hurto,ALTO,ALTO,7.445,7.557454694884841,27
2026,4,TRUJILLO,FLORENCIA DE MORA,Robo,MEDIO,BAJO,1.103,2.058596516679748,7
2026,4,TRUJILLO,FLORENCIA DE MORA,Violencia contra la mujer e integrantes,ALTO,ALTO,4.963,6.946480902930292,25
2026,4,PACASMAYO,GUADALUPE,Estafa,BAJO,BAJO,0.205,0.41931574429434776,2
2026,4,PACASMAYO,GUADALUPE,Extorsión,ALTO,MEDIO,3.488,1.4347723320019639,7
2026,4,PACASMAYO,GUADALUPE,Hurto,MEDIO,MEDIO,2.667,2.482812424223372,12
2026,4,PACASMAYO,GUADALUPE,Robo,MEDIO,MEDIO,0.821,1.9294748039709653,9
2026,4,PACASMAYO,GUADALUPE,Violencia contra la mujer e integrantes,ALTO,ALTO,6.155,5.272460381876145,26
2026,4,VIRU,GUADALUPITO,Estafa,BAJO,BAJO,1.377,1.4646980594176835,1
2026,4,VIRU,GUADALUPITO,Extorsión,BAJO,BAJO,1.377,1.622335349212784,1
2026,4,VIRU,GUADALUPITO,Hurto,BAJO,BAJO,2.753,3.1348306362446734,2
2026,4,VIRU,GUADALUPITO,Robo,BAJO,BAJO,2.753,2.9655556157532676,2
2026,4,VIRU,GUADALUPITO,Violencia contra la mujer e integrantes,BAJO,BAJO,2.753,3.4798951966250553,3
2026,4,SANCHEZ CARRION,HUAMACHUCO,Estafa,BAJO,BAJO,0.136,0.5302211114501847,4
2026,4,SANCHEZ CARRION,HUAMACHUCO,Extorsión,BAJO,BAJO,0.409,0.40474400098535074,3
2026,4,SANCHEZ CARRION,HUAMACHUCO,Hurto,MEDIO,MEDIO,0.955,1.6484496481482667,12
2026,4,SANCHEZ CARRION,HUAMACHUCO,Robo,BAJO,BAJO,0.136,0.6643569334200446,5
2026,4,SANCHEZ CARRION,HUAMACHUCO,Secuestro,BAJO,BAJO,0.136,0.1728700435177086,1
2026,4,SANCHEZ CARRION,HUAMACHUCO,Violencia contra la mujer e integrantes,MEDIO,ALTO,1.364,4.009937540205426,29
2026,4,TRUJILLO,HUANCHACO,Estafa,MEDIO,MEDIO,0.429,0.6755812283570514,6
2026,4,TRUJILLO,HUANCHACO,Extorsión,MEDIO,BAJO,0.429,0.509176325353253,5
2026,4,TRUJILLO,HUANCHACO,Hurto,ALTO,ALTO,2.36,2.787438998496533,26
2026,4,TRUJILLO,HUANCHACO,Robo,MEDIO,MEDIO,0.536,1.314168318193417,12
2026,4,TRUJILLO,HUANCHACO,Violencia contra la mujer e integrantes,ALTO,ALTO,1.931,3.6486384978484367,34
2026,4,OTUZCO,HUARANCHAL,Extorsión,BAJO,BAJO,2.224,2.2906594733593555,1
2026,4,PACASMAYO,JEQUETEPEQUE,Extorsión,BAJO,BAJO,2.53,2.5701379112856,1
