ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2024,11,ASCOPE,ASCOPE,Extorsión,6538,22.4,2,4,2.33,0,2,3.059,BAJO
2024,11,ASCOPE,ASCOPE,Robo,6538,22.4,0,2,0.67,1,1,1.53,BAJO
2024,11,ASCOPE,ASCOPE,Violencia contra la mujer e integrantes,6538,22.4,4,1,2.67,-1,2,3.059,BAJO
2024,11,SANTIAGO DE CHUCO,CACHICADAN,Robo,7364,27.6,0,1,0.67,2,2,2.716,BAJO
2024,11,SANTIAGO DE CHUCO,CACHICADAN,Secuestro,7364,27.6,0,0,0.0,1,1,1.358,BAJO
2024,11,JULCAN,CARABAMBA,Hurto,5866,21.9,0,2,1.0,2,2,3.409,BAJO
2024,11,ASCOPE,CASA GRANDE,Estafa,31761,51.5,1,1,0.67,-1,1,0.315,BAJO
2024,11,ASCOPE,CASA GRANDE,Extorsión,31761,51.5,10,4,8.0,2,13,4.093,MEDIO
2024,11,ASCOPE,CASA GRANDE,Hurto,31761,51.5,4,5,4.67,-8,2,0.63,BAJO
2024,11,ASCOPE,CASA GRANDE,Robo,31761,51.5,3,2,3.67,-3,6,1.889,MEDIO
2024,11,ASCOPE,CASA GRANDE,Violencia contra la mujer e integrantes,31761,51.5,9,10,9.33,3,22,6.927,ALTO
2024,11,GRAN CHIMU,CASCAS,Extorsión,13013,13.2,2,0,1.67,1,1,0.768,BAJO
2024,11,GRAN CHIMU,CASCAS,Hurto,13013,13.2,1,4,2.33,-1,1,0.768,BAJO
2024,11,GRAN CHIMU,CASCAS,Violencia contra la mujer e integrantes,13013,13.2,11,5,7.67,0,4,3.074,MEDIO
2024,11,VIRU,CHAO,Estafa,49595,29.0,4,4,4.33,1,3,0.605,BAJO
2024,11,VIRU,CHAO,Extorsión,49595,29.0,4,6,4.0,6,8,1.613,MEDIO
2024,11,VIRU,CHAO,Hurto,49595,29.0,10,9,8.67,0,14,2.823,MEDIO
2024,11,VIRU,CHAO,Robo,49595,29.0,13,14,14.67,6,13,2.621,MEDIO
2024,11,VIRU,CHAO,Secuestro,49595,29.0,0,1,0.33,1,1,0.202,BAJO
2024,11,VIRU,CHAO,Violencia contra la mujer e integrantes,49595,29.0,23,27,20.0,-8,22,4.436,ALTO
2024,11,CHEPEN,CHEPEN,Estafa,52066,181.2,5,6,5.33,-3,4,0.768,MEDIO
2024,11,CHEPEN,CHEPEN,Extorsión,52066,181.2,13,16,16.67,-2,8,1.537,MEDIO
2024,11,CHEPEN,CHEPEN,Hurto,52066,181.2,18,10,13.67,1,14,2.689,MEDIO
2024,11,CHEPEN,CHEPEN,Robo,52066,181.2,17,8,13.0,-2,14,2.689,MEDIO
2024,11,CHEPEN,CHEPEN,Violencia contra la mujer e integrantes,52066,181.2,28,20,31.67,3,29,5.57,ALTO
2024,11,ASCOPE,CHICAMA,Extorsión,16784,18.7,8,9,7.0,0,7,4.171,MEDIO
2024,11,ASCOPE,CHICAMA,Hurto,16784,18.7,3,4,4.67,2,5,2.979,MEDIO
2024,11,ASCOPE,CHICAMA,Robo,16784,18.7,4,2,2.67,-7,2,1.192,BAJO
2024,11,ASCOPE,CHICAMA,Violencia contra la mujer e integrantes,16784,18.7,6,4,4.0,12,13,7.745,MEDIO
2024,11,PATAZ,CHILLIA,Hurto,13372,41.7,0,0,0.0,2,2,1.496,BAJO
2024,11,ASCOPE,CHOCOPE,Extorsión,9576,95.5,7,3,4.67,4,5,5.221,MEDIO
2024,11,ASCOPE,CHOCOPE,Hurto,9576,95.5,2,2,2.0,4,6,6.266,MEDIO
2024,11,ASCOPE,CHOCOPE,Robo,9576,95.5,5,2,4.67,-2,1,1.044,BAJO
2024,11,ASCOPE,CHOCOPE,Violencia contra la mujer e integrantes,9576,95.5,3,3,5.67,-4,1,1.044,BAJO
2024,11,SANCHEZ CARRION,CURGOS,Estafa,8416,79.3,0,1,0.33,1,1,1.188,BAJO
2024,11,TRUJILLO,EL PORVENIR,Estafa,215795,5880.0,11,11,10.0,-8,10,0.463,MEDIO
